threshold,accuracy,precision,recall,f1
0.2,0.67375,0.3740359897172236,0.8926380368098159,0.5271739130434783
0.21000000000000002,0.68625,0.38266666666666665,0.8803680981595092,0.533457249070632
0.22000000000000003,0.70125,0.39415041782729804,0.8680981595092024,0.5421455938697318
0.23000000000000004,0.715625,0.4069264069264069,0.8650306748466258,0.5534838076545633
0.24000000000000005,0.725,0.41467065868263475,0.8496932515337423,0.5573440643863179
0.25000000000000006,0.735,0.4241486068111455,0.8404907975460123,0.5637860082304527
0.26000000000000006,0.743125,0.4317817014446228,0.8251533742331288,0.5669125395152792
0.2700000000000001,0.748125,0.43636363636363634,0.8098159509202454,0.5671321160042965
0.2800000000000001,0.76,0.45017182130584193,0.803680981595092,0.5770925110132159
0.2900000000000001,0.769375,0.46167557932263814,0.7944785276073619,0.5839909808342728
0.3000000000000001,0.7825,0.47947761194029853,0.7883435582822086,0.5962877030162413
0.3100000000000001,0.788125,0.4874274661508704,0.7730061349693251,0.597864768683274
0.3200000000000001,0.793125,0.4949698189134809,0.754601226993865,0.5978128797083839
0.3300000000000001,0.7975,0.5021097046413502,0.7300613496932515,0.595
0.34000000000000014,0.80125,0.5086580086580087,0.7208588957055214,0.5964467005076142
0.35000000000000014,0.804375,0.5143487858719646,0.7147239263803681,0.5982028241335045
0.36000000000000015,0.809375,0.5238095238095238,0.7085889570552147,0.6023468057366362
0.37000000000000016,0.811875,0.5290023201856149,0.6993865030674846,0.6023778071334214
0.38000000000000017,0.815625,0.5369928400954654,0.6901840490797546,0.6040268456375839
0.3900000000000002,0.821875,0.5506172839506173,0.6840490797546013,0.6101231190150479
0.4000000000000002,0.828125,0.5662337662337662,0.6687116564417178,0.6132208157524613
0.4100000000000002,0.829375,0.5695538057742782,0.6656441717791411,0.6138613861386139
0.4200000000000002,0.835,0.5833333333333334,0.6656441717791411,0.6217765042979942
0.4300000000000002,0.84,0.5966850828729282,0.6625766871165644,0.627906976744186
0.4400000000000002,0.845625,0.6131805157593123,0.656441717791411,0.6340740740740741
0.45000000000000023,0.84875,0.622093023255814,0.656441717791411,0.6388059701492538
0.46000000000000024,0.849375,0.6276276276276276,0.6411042944785276,0.6342943854324734
0.47000000000000025,0.85125,0.6366459627329193,0.6288343558282209,0.6327160493827161
0.48000000000000026,0.85375,0.6455696202531646,0.6257668711656442,0.6355140186915887
0.49000000000000027,0.85375,0.6503267973856209,0.6104294478527608,0.629746835443038
0.5000000000000002,0.8525,0.6490066225165563,0.6012269938650306,0.6242038216560509
0.5100000000000002,0.853125,0.6531986531986532,0.5950920245398773,0.622792937399679
0.5200000000000002,0.855625,0.6643598615916955,0.588957055214724,0.624390243902439
0.5300000000000002,0.856875,0.6738351254480287,0.5766871165644172,0.6214876033057851
0.5400000000000003,0.86,0.6902985074626866,0.5674846625766872,0.622895622895623
0.5500000000000003,0.8625,0.7022900763358778,0.5644171779141104,0.6258503401360545
0.5600000000000003,0.863125,0.7114624505928854,0.5521472392638037,0.6217616580310881
0.5700000000000003,0.863125,0.7219917012448133,0.5337423312883436,0.6137566137566137
0.5800000000000003,0.865,0.7350427350427351,0.5276073619631901,0.6142857142857143
0.5900000000000003,0.86375,0.7347826086956522,0.5184049079754601,0.6079136690647482
0.6000000000000003,0.860625,0.7288888888888889,0.5030674846625767,0.5952813067150635
0.6100000000000003,0.86125,0.7385321100917431,0.4938650306748466,0.5919117647058824
0.6200000000000003,0.863125,0.7559808612440191,0.48466257668711654,0.5906542056074766
0.6300000000000003,0.86375,0.7647058823529411,0.4785276073619632,0.5886792452830188
0.6400000000000003,0.865625,0.7817258883248731,0.4723926380368098,0.5889101338432122
0.6500000000000004,0.8625,0.7760416666666666,0.4570552147239264,0.5752895752895753
0.6600000000000004,0.86125,0.776595744680851,0.44785276073619634,0.5680933852140078
0.6700000000000004,0.86,0.7802197802197802,0.43558282208588955,0.5590551181102362
0.6800000000000004,0.8575,0.7784090909090909,0.42024539877300615,0.545816733067729
0.6900000000000004,0.856875,0.7869822485207101,0.40797546012269936,0.5373737373737374
0.7000000000000004,0.856875,0.7975460122699386,0.3987730061349693,0.5316973415132924
